+------------+-------------------+-----------------+
| AMKA       | AVG(medical_care) | AVG(experience) |
+------------+-------------------+-----------------+
| 0104618858 |            4.0000 |          4.0000 |
| 0105891880 |            5.0000 |          5.0000 |
| 0110880691 |            2.6667 |          2.6667 |
| 0304985890 |            4.0000 |          2.5000 |
| 0306418483 |            3.0000 |          1.0000 |
| 0307963205 |            4.0000 |          1.0000 |
| 0309426868 |            3.0000 |          4.0000 |
| 0309563392 |            3.8571 |          3.2857 |
| 0408696989 |            1.6667 |          3.6667 |
| 0509973114 |            5.0000 |          5.0000 |
| 0601531519 |            3.0000 |          1.0000 |
| 0605584110 |            3.6667 |          1.3333 |
| 0607452587 |            2.0000 |          2.0000 |
| 0609776087 |            2.5000 |          3.5000 |
| 0704904344 |            3.7500 |          3.0000 |
| 0704977688 |            4.0000 |          2.0000 |
| 0706873053 |            2.6667 |          1.6667 |
| 0711942992 |            2.7500 |          2.5000 |
| 0801795773 |            3.0000 |          2.3333 |
| 0806555905 |            3.0000 |          3.3333 |
| 0812549319 |            3.2500 |          3.5000 |
| 0812982957 |            4.0000 |          2.3333 |
| 0904831694 |            2.6667 |          2.0000 |
| 0904940035 |            3.5000 |          3.1667 |
| 0908852248 |            2.0000 |          3.0000 |
| 0911406977 |            2.4000 |          3.2000 |
| 0912460609 |            4.0000 |          3.3333 |
| 1002861332 |            3.0000 |          1.6667 |
| 1109745348 |            2.3333 |          4.0000 |
| 1208523524 |            3.0000 |          1.0000 |
| 1211707848 |            4.0000 |          3.5000 |
| 1308699025 |            4.0000 |          3.0000 |
| 1312003623 |            3.0000 |          2.5000 |
| 1501573913 |            3.0000 |          1.5000 |
| 1503762965 |            4.0000 |          2.3333 |
| 1505543455 |            5.0000 |          2.0000 |
| 1510953560 |            5.0000 |          2.0000 |
| 1603735382 |            3.5000 |          3.5000 |
| 1611859307 |            4.0000 |          2.7500 |
| 1612658393 |            1.5000 |          3.0000 |
| 1801854609 |            3.7500 |          3.0000 |
| 1803617379 |            4.2500 |          2.7500 |
| 1804888574 |            2.0000 |          3.5000 |
| 1811746391 |            1.0000 |          3.0000 |
| 1911777766 |            3.0000 |          3.0000 |
| 1912909775 |            5.0000 |          3.0000 |
| 2007452768 |            2.6667 |          4.0000 |
| 2011985385 |            2.6667 |          2.3333 |
| 2102625494 |            3.6667 |          2.0000 |
| 2103891566 |            4.0000 |          1.0000 |
| 2202889835 |            5.0000 |          4.0000 |
| 2203946792 |            3.0000 |          2.2500 |
| 2204956492 |            2.0000 |          2.0000 |
| 2207939674 |            4.3333 |          2.3333 |
| 2302947398 |            3.0000 |          4.0000 |
| 2305587242 |            2.0000 |          2.0000 |
| 2306756265 |            3.3333 |          2.3333 |
| 2308744168 |            1.0000 |          5.0000 |
| 2312517384 |            2.0000 |          5.0000 |
| 2312784653 |            2.5000 |          3.5000 |
| 2402660476 |            5.0000 |          3.0000 |
| 2404467659 |            5.0000 |          2.0000 |
| 2406442159 |            3.4000 |          2.2000 |
| 2412950367 |            4.0000 |          3.5000 |
| 2511712014 |            4.0000 |          2.3333 |
| 2804751977 |            2.5000 |          3.5000 |
| 2903772378 |            3.1111 |          3.1111 |
| 2903895461 |            2.0000 |          3.7500 |
| 2904008861 |            2.0000 |          1.0000 |
| 2907555808 |            3.5000 |          2.5000 |
| 2908735635 |            3.5000 |          1.0000 |
| 3107810726 |            2.0000 |          2.0000 |
| 3112428538 |            2.3333 |          2.3333 |
+------------+-------------------+-----------------+
