+------------+---------+------------+---------------------+---------------------+------------+------------------+
| AMKA       | hosp_id | cost       | admission_diagnosis | discharge_diagnosis | avg_rating | total_avg_rating |
+------------+---------+------------+---------------------+---------------------+------------+------------------+
| 0102657239 |      70 |   90984.60 | T56.5               | NULL                |       NULL |             NULL |
| 0102661094 |      46 |  423106.20 | Q31.9               | NULL                |       NULL |             3.40 |
| 0102661094 |      74 |   31417.20 | P96.8               | H92.1               |       3.40 |             3.40 |
| 0104226858 |     123 |    1222.00 | Y87                 | NULL                |       NULL |             3.10 |
| 0104226858 |     181 |  412845.40 | F44                 | NULL                |       NULL |             3.10 |
| 0104226858 |     283 |   17745.00 | Q05.0               | NULL                |       NULL |             3.10 |
| 0104226858 |     182 |   30568.90 | X41                 | B67.8               |       3.40 |             3.10 |
| 0104226858 |     212 |   21660.10 | E03.0               | T56.0               |       2.80 |             3.10 |
| 0104559069 |     151 |    2964.00 | W33                 | A40.1               |       2.00 |             2.00 |
| 0104559069 |     153 |  238074.80 | L91.9               | NULL                |       NULL |             2.00 |
| 0104559069 |     286 |    1765.00 | N25.1               | NULL                |       NULL |             2.00 |
| 0105120745 |     403 |    6196.50 | Z64.3               | G81.9               |       3.00 |             2.90 |
| 0105120745 |     284 |    5825.60 | Z39                 | J44.8               |       2.80 |             2.90 |
| 0107190515 |     307 |   47656.00 | V85.9               | NULL                |       NULL |             NULL |
| 0107774394 |     242 |     475.00 | A01.4               | R82.8               |       2.60 |             3.10 |
| 0107774394 |     281 |   40716.00 | S84.9               | NULL                |       NULL |             3.10 |
| 0107774394 |      64 |    2140.00 | P37.0               | T29.2               |       3.60 |             3.10 |
| 0107774394 |     380 |     475.00 | I31.1               | NULL                |       NULL |             3.10 |
| 0108033434 |      99 |  210092.40 | A01.4               | NULL                |       NULL |             NULL |
| 0108799858 |     280 |  201500.00 | G51.8               | NULL                |       NULL |             3.80 |
| 0108799858 |     105 |    3064.60 | S64                 | A21.0               |       3.80 |             3.80 |
| 0110520785 |     169 |   10388.70 | A19.9               | G32.0*              |       3.40 |             3.40 |
