+-----------------------------+------------+--------+------------+
| dept_name                   | day        | role   | AMKA       |
+-----------------------------+------------+--------+------------+
| Anesthesiology              | 2024-01-08 | Admin  | 0210960977 |
| Anesthesiology              | 2024-01-08 | Admin  | 0303405395 |
| Anesthesiology              | 2024-01-08 | Admin  | 0304727575 |
| Anesthesiology              | 2024-01-08 | Admin  | 0408620724 |
| Anesthesiology              | 2024-01-08 | Admin  | 0411474744 |
| Anesthesiology              | 2024-01-08 | Admin  | 0503492758 |
| Anesthesiology              | 2024-01-08 | Admin  | 0506641219 |
| Anesthesiology              | 2024-01-08 | Admin  | 0605004637 |
| Anesthesiology              | 2024-01-08 | Admin  | 0607661616 |
| Anesthesiology              | 2024-01-08 | Admin  | 0705622563 |
| Anesthesiology              | 2024-01-08 | Admin  | 0709712181 |
| Anesthesiology              | 2024-01-08 | Admin  | 0803643155 |
| Anesthesiology              | 2024-01-08 | Admin  | 0806697940 |
| Anesthesiology              | 2024-01-08 | Admin  | 0903715931 |
| Anesthesiology              | 2024-01-08 | Admin  | 1005433122 |
| Anesthesiology              | 2024-01-08 | Admin  | 1106911410 |
| Anesthesiology              | 2024-01-08 | Admin  | 1110695104 |
| Anesthesiology              | 2024-01-08 | Admin  | 1212552555 |
| Anesthesiology              | 2024-01-08 | Admin  | 1306422562 |
| Anesthesiology              | 2024-01-08 | Admin  | 1312771419 |
| Anesthesiology              | 2024-01-08 | Admin  | 1501402720 |
| Anesthesiology              | 2024-01-08 | Admin  | 1502698763 |
| Anesthesiology              | 2024-01-08 | Admin  | 1507759040 |
| Anesthesiology              | 2024-01-08 | Admin  | 1508665761 |
| Anesthesiology              | 2024-01-08 | Admin  | 1607900079 |
| Anesthesiology              | 2024-01-08 | Admin  | 1610858831 |
| Anesthesiology              | 2024-01-08 | Admin  | 1611003666 |
| Anesthesiology              | 2024-01-08 | Admin  | 1711730076 |
| Anesthesiology              | 2024-01-08 | Admin  | 1712730939 |
| Anesthesiology              | 2024-01-08 | Admin  | 1806446467 |
| Anesthesiology              | 2024-01-08 | Admin  | 1908458356 |
| Anesthesiology              | 2024-01-08 | Admin  | 2003660014 |
| Anesthesiology              | 2024-01-08 | Admin  | 2005586198 |
| Anesthesiology              | 2024-01-08 | Admin  | 2008788354 |
| Anesthesiology              | 2024-01-08 | Admin  | 2010429524 |
| Anesthesiology              | 2024-01-08 | Admin  | 2110764191 |
| Anesthesiology              | 2024-01-08 | Admin  | 2308874849 |
| Anesthesiology              | 2024-01-08 | Admin  | 2309864645 |
| Anesthesiology              | 2024-01-08 | Admin  | 2402496760 |
| Anesthesiology              | 2024-01-08 | Admin  | 2402857727 |
| Anesthesiology              | 2024-01-08 | Admin  | 2408550654 |
| Anesthesiology              | 2024-01-08 | Admin  | 2409434087 |
| Anesthesiology              | 2024-01-08 | Admin  | 2412517299 |
| Anesthesiology              | 2024-01-08 | Admin  | 2607484467 |
| Anesthesiology              | 2024-01-08 | Admin  | 2708007657 |
| Anesthesiology              | 2024-01-08 | Admin  | 2808598424 |
| Anesthesiology              | 2024-01-08 | Admin  | 3101661048 |
| Anesthesiology              | 2024-01-08 | Doctor | 0104618858 |
| Anesthesiology              | 2024-01-08 | Doctor | 0105891880 |
| Anesthesiology              | 2024-01-08 | Doctor | 0110880691 |
| Anesthesiology              | 2024-01-08 | Doctor | 0201006695 |
| Anesthesiology              | 2024-01-08 | Doctor | 0304985890 |
| Anesthesiology              | 2024-01-08 | Doctor | 0306418483 |
| Anesthesiology              | 2024-01-08 | Doctor | 0307963205 |
| Anesthesiology              | 2024-01-08 | Doctor | 0309426868 |
| Anesthesiology              | 2024-01-08 | Doctor | 0309563392 |
| Anesthesiology              | 2024-01-08 | Doctor | 0408696989 |
| Anesthesiology              | 2024-01-08 | Doctor | 0509973114 |
| Anesthesiology              | 2024-01-08 | Doctor | 0601531519 |
| Anesthesiology              | 2024-01-08 | Doctor | 0605584110 |
| Anesthesiology              | 2024-01-08 | Doctor | 0607452587 |
| Anesthesiology              | 2024-01-08 | Doctor | 0609776087 |
| Anesthesiology              | 2024-01-08 | Doctor | 0704904344 |
| Anesthesiology              | 2024-01-08 | Doctor | 0704977688 |
| Anesthesiology              | 2024-01-08 | Doctor | 0706873053 |
| Anesthesiology              | 2024-01-08 | Doctor | 0711942992 |
| Anesthesiology              | 2024-01-08 | Doctor | 0801795773 |
| Anesthesiology              | 2024-01-08 | Doctor | 0806555905 |
| Anesthesiology              | 2024-01-08 | Doctor | 0812549319 |
| Anesthesiology              | 2024-01-08 | Doctor | 0812982957 |
| Anesthesiology              | 2024-01-08 | Doctor | 0904831694 |
| Anesthesiology              | 2024-01-08 | Doctor | 0904940035 |
| Anesthesiology              | 2024-01-08 | Doctor | 0911406977 |
| Anesthesiology              | 2024-01-08 | Doctor | 0912460609 |
| Anesthesiology              | 2024-01-08 | Doctor | 1002861332 |
| Anesthesiology              | 2024-01-08 | Doctor | 1109415688 |
| Anesthesiology              | 2024-01-08 | Doctor | 1109745348 |
| Anesthesiology              | 2024-01-08 | Doctor | 1208523524 |
| Anesthesiology              | 2024-01-08 | Doctor | 1211707848 |
| Anesthesiology              | 2024-01-08 | Doctor | 1308699025 |
| Anesthesiology              | 2024-01-08 | Doctor | 1312003623 |
| Anesthesiology              | 2024-01-08 | Doctor | 1401596573 |
