+------------+---------------+
| AMKA       | surgery_count |
+------------+---------------+
| 0911406977 |             2 |
| 0408696989 |             2 |
| 0801795773 |             2 |
| 0110880691 |             2 |
| 2312784653 |             2 |
| 0706873053 |             1 |
| 2302947398 |             1 |
| 1002861332 |             1 |
| 1801854609 |             1 |
| 2305587242 |             1 |
| 2903895461 |             1 |
| 0601531519 |             1 |
| 0904831694 |             1 |
| 1109745348 |             1 |
| 1811746391 |             1 |
| 2907555808 |             1 |
| 0304985890 |             1 |
| 0609776087 |             1 |
| 0904940035 |             1 |
| 1308699025 |             1 |
| 2202889835 |             1 |
| 2903518760 |             1 |
| 3112428538 |             1 |
+------------+---------------+
