+------------+----------------------------+---------------+------+
| AMKA       | rank                       | supervisor_id | step |
+------------+----------------------------+---------------+------+
| 0104618858 | Επιμελητής Α               | 1208523524    |    0 |
| 1208523524 | Επιμελητής Α               | NULL          |    1 |
| 0105891880 | Επιμελητής Β               | 1211707848    |    0 |
| 1211707848 | Διευθυντής                 | NULL          |    1 |
| 0110880691 | Επιμελητής Α               | 0309563392    |    0 |
| 0309563392 | Επιμελητής Β               | 1211707848    |    1 |
| 1211707848 | Διευθυντής                 | NULL          |    2 |
| 0307963205 | Ειδικευόμενος              | 1612658393    |    0 |
| 1612658393 | Διευθυντής                 | NULL          |    1 |
| 0309563392 | Επιμελητής Β               | 1211707848    |    0 |
| 1211707848 | Διευθυντής                 | NULL          |    1 |
| 0509973114 | Επιμελητής Β               | 3105545215    |    0 |
| 3105545215 | Επιμελητής Α               | 2308744168    |    1 |
| 2308744168 | Διευθυντής                 | NULL          |    2 |
| 0605584110 | Επιμελητής Β               | 1612658393    |    0 |
| 1612658393 | Διευθυντής                 | NULL          |    1 |
| 0607452587 | Επιμελητής Α               | 0408696989    |    0 |
| 0408696989 | Διευθυντής                 | NULL          |    1 |
| 0609776087 | Επιμελητής Α               | 2308744168    |    0 |
| 2308744168 | Διευθυντής                 | NULL          |    1 |
| 0704977688 | Επιμελητής Α               | 0711942992    |    0 |
| 0711942992 | Διευθυντής                 | NULL          |    1 |
| 0806555905 | Επιμελητής Β               | 0309563392    |    0 |
| 0309563392 | Επιμελητής Β               | 1211707848    |    1 |
| 1211707848 | Διευθυντής                 | NULL          |    2 |
| 0911406977 | Επιμελητής Α               | 1208523524    |    0 |
| 1208523524 | Επιμελητής Α               | NULL          |    1 |
| 0912460609 | Ειδικευόμενος              | 2011985385    |    0 |
| 2011985385 | Επιμελητής Α               | 2511712014    |    1 |
| 2511712014 | Διευθυντής                 | NULL          |    2 |
| 1109415688 | Επιμελητής Α               | 1312003623    |    0 |
| 1312003623 | Διευθυντής                 | NULL          |    1 |
| 1401596573 | Ειδικευόμενος              | 1803617379    |    0 |
| 1803617379 | Επιμελητής Β               | 0711942992    |    1 |
| 0711942992 | Διευθυντής                 | NULL          |    2 |
| 1601495998 | Ειδικευόμενος              | 3112428538    |    0 |
| 3112428538 | Διευθυντής                 | NULL          |    1 |
| 1611859307 | Ειδικευόμενος              | 0304985890    |    0 |
| 0304985890 | Διευθυντής                 | NULL          |    1 |
| 1801854609 | Επιμελητής Β               | 0105891880    |    0 |
| 0105891880 | Επιμελητής Β               | 1211707848    |    1 |
| 1211707848 | Διευθυντής                 | NULL          |    2 |
| 1803617379 | Επιμελητής Β               | 0711942992    |    0 |
| 0711942992 | Διευθυντής                 | NULL          |    1 |
| 1911777766 | Ειδικευόμενος              | 2903895461    |    0 |
| 2903895461 | Επιμελητής Α               | 1501573913    |    1 |
| 1501573913 | Διευθυντής                 | NULL          |    2 |
| 1912909775 | Ειδικευόμενος              | 0812982957    |    0 |
| 0812982957 | Επιμελητής Α               | NULL          |    1 |
| 2011985385 | Επιμελητής Α               | 2511712014    |    0 |
| 2511712014 | Διευθυντής                 | NULL          |    1 |
| 2102625494 | Ειδικευόμενος              | 1612658393    |    0 |
| 1612658393 | Διευθυντής                 | NULL          |    1 |
| 2103891566 | Επιμελητής Β               | 1801854609    |    0 |
| 1801854609 | Επιμελητής Β               | 0105891880    |    1 |
| 0105891880 | Επιμελητής Β               | 1211707848    |    2 |
| 1211707848 | Διευθυντής                 | NULL          |    3 |
| 2203946792 | Ειδικευόμενος              | 0408696989    |    0 |
| 0408696989 | Διευθυντής                 | NULL          |    1 |
| 2402660476 | Επιμελητής Β               | 0201006695    |    0 |
| 0201006695 | Διευθυντής                 | NULL          |    1 |
| 2404467659 | Ειδικευόμενος              | 1811746391    |    0 |
| 1811746391 | Διευθυντής                 | NULL          |    1 |
| 2406442159 | Επιμελητής Α               | 3107810726    |    0 |
| 3107810726 | Διευθυντής                 | NULL          |    1 |
| 2412950367 | Ειδικευόμενος              | 0801795773    |    0 |
| 0801795773 | Διευθυντής                 | NULL          |    1 |
| 2709532541 | Ειδικευόμενος              | 0706873053    |    0 |
| 0706873053 | Διευθυντής                 | NULL          |    1 |
| 2804751977 | Ειδικευόμενος              | 2204956492    |    0 |
| 2204956492 | Διευθυντής                 | NULL          |    1 |
| 2903895461 | Επιμελητής Α               | 1501573913    |    0 |
| 1501573913 | Διευθυντής                 | NULL          |    1 |
| 3105545215 | Επιμελητής Α               | 2308744168    |    0 |
| 2308744168 | Διευθυντής                 | NULL          |    1 |
+------------+----------------------------+---------------+------+
